Name,Identity,Produces,Set,Cycle
Ice Tunnel,BU,BU,khm,Snow Duals
Rimewood Falls,GU,GU,khm,Snow Duals
Snowfield Sinkhole,BW,BW,khm,Snow Duals
Sulfurous Mire,BR,BR,khm,Snow Duals
Woodland Chasm,BG,BG,khm,Snow Duals
Arctic Flats,GW,GW,csp,Snow Tap Lands
Boreal Shelf,UW,UW,csp,Snow Tap Lands
Frost Marsh,BU,BU,csp,Snow Tap Lands
Highland Weald,GR,GR,csp,Snow Tap Lands
Tresserhorn Sinks,BR,BR,csp,Snow Tap Lands
Volatile Fjord,RU,RU,khm,Snow Tap Lands
Lorehold Campus,RW,RW,stx,Tap Dual Scry Lands
Prismari Campus,RU,RU,stx,Tap Dual Scry Lands
Quandrix Campus,GU,GU,stx,Tap Dual Scry Lands
Silverquill Campus,BW,BW,stx,Tap Dual Scry Lands
Witherbloom Campus,BG,BG,stx,Tap Dual Scry Lands
Coastal Tower,UW,UW,inv,Tap Duals
Elfhame Palace,GW,GW,inv,Tap Duals
Salt Marsh,BU,BU,inv,Tap Duals
Shivan Oasis,GR,GR,inv,Tap Duals
Urborg Volcano,BR,BR,inv,Tap Duals
Cinder Barrens,BR,BR,ogw,Tap Duals
Meandering River,UW,UW,ogw,Tap Duals
Submerged Boneyard,BU,BU,ogw,Tap Duals
Timber Gorge,GR,GR,ogw,Tap Duals
Tranquil Expanse,GW,GW,ogw,Tap Duals
Forsaken Sanctuary,BW,BW,soi,Tap Duals
Foul Orchard,BG,BG,soi,Tap Duals
Highland Lake,RU,RU,soi,Tap Duals
Stone Quarry,RW,RW,soi,Tap Duals
Woodland Stream,GU,GU,soi,Tap Duals
Shimmerdrift Vale,,BGRUW,khm,Tap Oneshot Rainbow Land
Uncharted Haven,,BGRUW,neo,Tap Oneshot Rainbow Land
Arcane Sanctum,BUW,BUW,ala,Tap Tri Lands
Crumbling Necropolis,BRU,BRU,ala,Tap Tri Lands
Jungle Shrine,GRW,GRW,ala,Tap Tri Lands
Savage Lands,BGR,BGR,ala,Tap Tri Lands
Seaside Citadel,GUW,GUW,ala,Tap Tri Lands
Frontier Bivouac,GRU,GRU,ktk,Tap Tri Lands
Mystic Monastery,RUW,RUW,ktk,Tap Tri Lands
Nomad Outpost,BRW,BRW,ktk,Tap Tri Lands
Opulent Palace,BGU,BGU,ktk,Tap Tri Lands
Sandsteppe Citadel,BGW,BGW,ktk,Tap Tri Lands
Sea Gate,U,WUBRG,,Thriving Gates
Manor Gate,G,WUBRG,,Thriving Gates
Cliffgate,R,WUBRG,,Thriving Gates
Citadel Gate,W,WUBRG,,Thriving Gates
Black Dragon Gate,B,WUBRG,,Thriving Gates
Thriving Bluff,R,BGRUW,jmp,Thriving Lands
Thriving Grove,G,BGRUW,jmp,Thriving Lands
Thriving Heath,W,BGRUW,jmp,Thriving Lands
Thriving Isle,U,BGRUW,jmp,Thriving Lands
Thriving Moor,B,BGRUW,jmp,Thriving Lands
Indatha Triome,BGW,BGW,iko,Triomes
Ketria Triome,GRU,GRU,iko,Triomes
Raugrin Triome,RUW,RUW,iko,Triomes
Savai Triome,BRW,BRW,iko,Triomes
Zagoth Triome,BGU,BGU,iko,Triomes
Jetmir's Garden,GRW,GRW,snc,Triomes
Raffine's Tower,BUW,BUW,snc,Triomes
Spara's Headquarters,GUW,GUW,snc,Triomes
Xander's Lounge,BRU,BRU,snc,Triomes
Ziatora's Proving Ground,BGR,BGR,snc,Triomes
Badlands,BR,BR,lea,True Duals
Bayou,BG,BG,lea,True Duals
Plateau,RW,RW,lea,True Duals
Savannah,GW,GW,lea,True Duals
Scrubland,BW,BW,lea,True Duals
Taiga,GR,GR,lea,True Duals
Tropical Island,GU,GU,lea,True Duals
Tundra,UW,UW,lea,True Duals
Underground Sea,BU,BU,lea,True Duals
Volcanic Island,RU,RU,leb,True Duals
Botanical Plaza,GW,GW,snc,Tap Draw Lands
Waterfront District,UB,UB,snc,Tap Draw Lands
Tramway Station ,RB,RB,snc,Tap Draw Lands
Skybridge Towers ,UW,UW,snc,Tap Draw Lands
Racers' Ring,RG,RG,snc,Tap Draw Lands
