Name,Identity,Produces,SingleMatch,Set,Cycle
Blooming Marsh,BG,BG,BG,kld,Fast Lands
Botanical Sanctum,GU,GU,GU,kld,Fast Lands
Concealed Courtyard,BW,BW,BW,kld,Fast Lands
Inspiring Vantage,RW,RW,RW,kld,Fast Lands
Spirebluff Canal,RU,RU,RU,kld,Fast Lands
Bloodstained Mire,,WUBRG,RB,,Fetch Lands
Flooded Strand,,WUBRG,UW,,Fetch Lands
Polluted Delta,,WUBRG,UB,,Fetch Lands
Windswept Heath,,WUBRG,GW,,Fetch Lands
Wooded Foothills,,WUBRG,RG,,Fetch Lands
Arid Mesa,,WUBRG,RW,,Fetch Lands
Marsh Flats,,WUBRG,WB,,Fetch Lands
Misty Rainforest,,WUBRG,UG,,Fetch Lands
Scalding Tarn,,WUBRG,UR,,Fetch Lands
Verdant Catacombs,,WUBRG,BG,,Fetch Lands
Graven Cairns,BR,BCR,BCR,fut,Filter Duals
Fire-Lit Thicket,GR,CGR,CGR,shm,Filter Duals
Mystic Gate,UW,CUW,CUW,shm,Filter Duals
Sunken Ruins,BU,BCU,BCU,shm,Filter Duals
Wooded Bastion,GW,CGW,CGW,shm,Filter Duals
Cascade Bluffs,RU,CRU,CRU,eve,Filter Duals
Fetid Heath,BW,BCW,BCW,eve,Filter Duals
Flooded Grove,GU,CGU,CGU,eve,Filter Duals
Rugged Prairie,RW,CRW,CRW,eve,Filter Duals
Twilight Mire,BG,BCG,BCG,eve,Filter Duals
Akoum Refuge,BR,BR,BR,zen,Gain Lands
Graypelt Refuge,GW,GW,GW,zen,Gain Lands
Jwar Isle Refuge,BU,BU,BU,zen,Gain Lands
Kazandu Refuge,GR,GR,GR,zen,Gain Lands
Sejiri Refuge,UW,UW,UW,zen,Gain Lands
Bloodfell Caves,BR,BR,BR,ktk,Gain Lands
Blossoming Sands,GW,GW,GW,ktk,Gain Lands
Dismal Backwater,BU,BU,BU,ktk,Gain Lands
Jungle Hollow,BG,BG,BG,ktk,Gain Lands
Rugged Highlands,GR,GR,GR,ktk,Gain Lands
Scoured Barrens,BW,BW,BW,ktk,Gain Lands
Swiftwater Cliffs,RU,RU,RU,ktk,Gain Lands
Thornwood Falls,GU,GU,GU,ktk,Gain Lands
Tranquil Cove,UW,UW,UW,ktk,Gain Lands
Wind-Scarred Crag,RW,RW,RW,ktk,Gain Lands
Azorius Guildgate,UW,UW,UW,rtr,Gate Duals
Golgari Guildgate,BG,BG,BG,rtr,Gate Duals
Izzet Guildgate,RU,RU,RU,rtr,Gate Duals
Rakdos Guildgate,BR,BR,BR,rtr,Gate Duals
Selesnya Guildgate,GW,GW,GW,rtr,Gate Duals
Boros Guildgate,RW,RW,RW,gtc,Gate Duals
Dimir Guildgate,BU,BU,BU,gtc,Gate Duals
Gruul Guildgate,GR,GR,GR,gtc,Gate Duals
Orzhov Guildgate,BW,BW,BW,gtc,Gate Duals
Simic Guildgate,GU,GU,GU,gtc,Gate Duals
Grand Coliseum,,BCGRUW,BCGRUW,ons,Grand Coliseum
Horizon Canopy,GW,GW,GW,fut,Horizon Lands
Fiery Islet,RU,RU,RU,mh1,Horizon Lands
Nurturing Peatland,BG,BG,BG,mh1,Horizon Lands
Silent Clearing,BW,BW,BW,mh1,Horizon Lands
Sunbaked Canyon,RW,RW,RW,mh1,Horizon Lands
Waterlogged Grove,GU,GU,GU,mh1,Horizon Lands
Mana Confluence,,BGRUW,BGRUW,jou,Mana Confluence
Darkwater Catacombs,BU,BU,BU,ody,Manaless Filters
Mossfire Valley,GR,GR,GR,ody,Manaless Filters
Shadowblood Ridge,BR,BR,BR,ody,Manaless Filters
Skycloud Expanse,UW,UW,UW,ody,Manaless Filters
Sungrass Prairie,GW,GW,GW,ody,Manaless Filters
Bad River,,WUBRG,UB,,Original Fetch Lands
Flood Plain,,WUBRG,UW,,Original Fetch Lands
Grasslands,,WUBRG,GW,,Original Fetch Lands
Mountain Valley,,WUBRG,RG,,Original Fetch Lands
Rocky Tar Pit,,WUBRG,RB,,Original Fetch Lands
Adarkar Wastes,UW,CUW,CUW,ice,Pain Lands
Brushland,GW,CGW,CGW,ice,Pain Lands
Karplusan Forest,GR,CGR,CGR,ice,Pain Lands
Sulfurous Springs,BR,BCR,BCR,ice,Pain Lands
Underground River,BU,BCU,BCU,ice,Pain Lands
Battlefield Forge,RW,CRW,CRW,apc,Pain Lands
Caves of Koilos,BW,BCW,BCW,apc,Pain Lands
Llanowar Wastes,BG,BCG,BCG,apc,Pain Lands
Shivan Reef,RU,CRU,CRU,apc,Pain Lands
Yavimaya Coast,GU,CGU,CGU,apc,Pain Lands
Branchloft Pathway // Boulderloft Pathway,GW,GW,GW,znr,Pathways
Brightclimb Pathway // Grimclimb Pathway,BW,BW,BW,znr,Pathways
Clearwater Pathway // Murkwater Pathway,BU,BU,BU,znr,Pathways
Cragcrown Pathway // Timbercrown Pathway,GR,GR,GR,znr,Pathways
Needleverge Pathway // Pillarverge Pathway,RW,RW,RW,znr,Pathways
Riverglide Pathway // Lavaglide Pathway,RU,RU,RU,znr,Pathways
Barkchannel Pathway // Tidechannel Pathway,GU,GU,GU,khm,Pathways
Blightstep Pathway // Searstep Pathway,BR,BR,BR,khm,Pathways
Darkbore Pathway // Slitherbore Pathway,BG,BG,BG,khm,Pathways
Hengegate Pathway // Mistgate Pathway,UW,UW,UW,khm,Pathways
Prismatic Vista,,WUBRG,WUBRG,,Prismatic Vista
Temple of Abandon,GR,GR,GR,ths,Scry Lands
Temple of Deceit,BU,BU,BU,ths,Scry Lands
Temple of Mystery,GU,GU,GU,ths,Scry Lands
Temple of Silence,BW,BW,BW,ths,Scry Lands
Temple of Triumph,RW,RW,RW,ths,Scry Lands
Temple of Enlightenment,UW,UW,UW,bng,Scry Lands
Temple of Malice,BR,BR,BR,bng,Scry Lands
Temple of Plenty,GW,GW,GW,bng,Scry Lands
Temple of Epiphany,RU,RU,RU,jou,Scry Lands
Temple of Malady,BG,BG,BG,jou,Scry Lands
Overgrown Tomb,BG,BG,BG,rav,Shock Lands
Sacred Foundry,RW,RW,RW,rav,Shock Lands
Temple Garden,GW,GW,GW,rav,Shock Lands
Watery Grave,BU,BU,BU,rav,Shock Lands
Godless Shrine,BW,BW,BW,gpt,Shock Lands
Steam Vents,RU,RU,RU,gpt,Shock Lands
Stomping Ground,GR,GR,GR,gpt,Shock Lands
Blood Crypt,BR,BR,BR,dis,Shock Lands
Breeding Pool,GU,GU,GU,dis,Shock Lands
Hallowed Fountain,UW,UW,UW,dis,Shock Lands
Choked Estuary,BU,BU,BU,soi,Show Lands
Foreboding Ruins,BR,BR,BR,soi,Show Lands
Fortified Village,GW,GW,GW,soi,Show Lands
Game Trail,GR,GR,GR,soi,Show Lands
Port Town,UW,UW,UW,soi,Show Lands
Frostboil Snarl,RU,RU,RU,stx,Show Lands
Furycalm Snarl,RW,RW,RW,stx,Show Lands
Necroblossom Snarl,BG,BG,BG,stx,Show Lands
Shineshadow Snarl,BW,BW,BW,stx,Show Lands
Vineglimmer Snarl,GU,GU,GU,stx,Show Lands
Deserted Beach,UW,UW,UW,mid,Slow Lands
Haunted Ridge,BR,BR,BR,mid,Slow Lands
Overgrown Farmland,GW,GW,GW,mid,Slow Lands
Rockfall Vale,GR,GR,GR,mid,Slow Lands
Shipwreck Marsh,BU,BU,BU,mid,Slow Lands
Deathcap Glade,BG,BG,BG,vow,Slow Lands
Dreamroot Cascade,GU,GU,GU,vow,Slow Lands
Shattered Sanctum,BW,BW,BW,vow,Slow Lands
Stormcarved Coast,RU,RU,RU,vow,Slow Lands
Sundown Pass,RW,RW,RW,vow,Slow Lands
Alpine Meadow,RW,RW,RW,khm,Snow Duals
Arctic Treeline,GW,GW,GW,khm,Snow Duals
Glacial Floodplain,UW,UW,UW,khm,Snow Duals
Highland Forest,GR,GR,GR,khm,Snow Duals
Ice Tunnel,BU,BU,BU,khm,Snow Duals
Rimewood Falls,GU,GU,GU,khm,Snow Duals
Snowfield Sinkhole,BW,BW,BW,khm,Snow Duals
Sulfurous Mire,BR,BR,BR,khm,Snow Duals
Woodland Chasm,BG,BG,BG,khm,Snow Duals
Arctic Flats,GW,GW,GW,csp,Snow Tap Lands
Boreal Shelf,UW,UW,UW,csp,Snow Tap Lands
Frost Marsh,BU,BU,BU,csp,Snow Tap Lands
Highland Weald,GR,GR,GR,csp,Snow Tap Lands
Tresserhorn Sinks,BR,BR,BR,csp,Snow Tap Lands
Volatile Fjord,RU,RU,RU,khm,Snow Tap Lands
Lorehold Campus,RW,RW,RW,stx,Tap Dual Scry Lands
Prismari Campus,RU,RU,RU,stx,Tap Dual Scry Lands
Quandrix Campus,GU,GU,GU,stx,Tap Dual Scry Lands
Silverquill Campus,BW,BW,BW,stx,Tap Dual Scry Lands
Witherbloom Campus,BG,BG,BG,stx,Tap Dual Scry Lands
Coastal Tower,UW,UW,UW,inv,Tap Duals
Elfhame Palace,GW,GW,GW,inv,Tap Duals
Salt Marsh,BU,BU,BU,inv,Tap Duals
Shivan Oasis,GR,GR,GR,inv,Tap Duals
Urborg Volcano,BR,BR,BR,inv,Tap Duals
Cinder Barrens,BR,BR,BR,ogw,Tap Duals
Meandering River,UW,UW,UW,ogw,Tap Duals
Submerged Boneyard,BU,BU,BU,ogw,Tap Duals
Timber Gorge,GR,GR,GR,ogw,Tap Duals
Tranquil Expanse,GW,GW,GW,ogw,Tap Duals
Forsaken Sanctuary,BW,BW,BW,soi,Tap Duals
Foul Orchard,BG,BG,BG,soi,Tap Duals
Highland Lake,RU,RU,RU,soi,Tap Duals
Stone Quarry,RW,RW,RW,soi,Tap Duals
Woodland Stream,GU,GU,GU,soi,Tap Duals
Shimmerdrift Vale,,BGRUW,BGRUW,khm,Tap Oneshot Rainbow Land
Uncharted Haven,,BGRUW,BGRUW,neo,Tap Oneshot Rainbow Land
Arcane Sanctum,BUW,BUW,BUW,ala,Tap Tri Lands
Crumbling Necropolis,BRU,BRU,BRU,ala,Tap Tri Lands
Jungle Shrine,GRW,GRW,GRW,ala,Tap Tri Lands
Savage Lands,BGR,BGR,BGR,ala,Tap Tri Lands
Seaside Citadel,GUW,GUW,GUW,ala,Tap Tri Lands
Frontier Bivouac,GRU,GRU,GRU,ktk,Tap Tri Lands
Mystic Monastery,RUW,RUW,RUW,ktk,Tap Tri Lands
Nomad Outpost,BRW,BRW,BRW,ktk,Tap Tri Lands
Opulent Palace,BGU,BGU,BGU,ktk,Tap Tri Lands
Sandsteppe Citadel,BGW,BGW,BGW,ktk,Tap Tri Lands
Sea Gate,U,WUBRG,WUBRG,,Thriving Gates
Manor Gate,G,WUBRG,WUBRG,,Thriving Gates
Cliffgate,R,WUBRG,WUBRG,,Thriving Gates
Citadel Gate,W,WUBRG,WUBRG,,Thriving Gates
Black Dragon Gate,B,WUBRG,WUBRG,,Thriving Gates
Thriving Bluff,R,BGRUW,BGRUW,jmp,Thriving Lands
Thriving Grove,G,BGRUW,BGRUW,jmp,Thriving Lands
Thriving Heath,W,BGRUW,BGRUW,jmp,Thriving Lands
Thriving Isle,U,BGRUW,BGRUW,jmp,Thriving Lands
Thriving Moor,B,BGRUW,BGRUW,jmp,Thriving Lands
Indatha Triome,BGW,BGW,BGW,iko,Triomes
Ketria Triome,GRU,GRU,GRU,iko,Triomes
Raugrin Triome,RUW,RUW,RUW,iko,Triomes
Savai Triome,BRW,BRW,BRW,iko,Triomes
Zagoth Triome,BGU,BGU,BGU,iko,Triomes
Jetmir's Garden,GRW,GRW,GRW,snc,Triomes
Raffine's Tower,BUW,BUW,BUW,snc,Triomes
Spara's Headquarters,GUW,GUW,GUW,snc,Triomes
Xander's Lounge,BRU,BRU,BRU,snc,Triomes
Ziatora's Proving Ground,BGR,BGR,BGR,snc,Triomes
Badlands,BR,BR,BR,lea,True Duals
Bayou,BG,BG,BG,lea,True Duals
Plateau,RW,RW,RW,lea,True Duals
Savannah,GW,GW,GW,lea,True Duals
Scrubland,BW,BW,BW,lea,True Duals
Taiga,GR,GR,GR,lea,True Duals
Tropical Island,GU,GU,GU,lea,True Duals
Tundra,UW,UW,UW,lea,True Duals
Underground Sea,BU,BU,BU,lea,True Duals
Volcanic Island,RU,RU,RU,leb,True Duals
Botanical Plaza,GW,GW,GW,snc,Tap Draw Lands
Waterfront District,UB,UB,UB,snc,Tap Draw Lands
Tramway Station ,RB,RB,RB,snc,Tap Draw Lands
Skybridge Towers ,UW,UW,UW,snc,Tap Draw Lands
Racers' Ring,RG,RG,RG,snc,Tap Draw Lands
